PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
302,0,1,"Clark, Mr. Luis", male ,40.1,2,0,A/5 47824,76.00,,S
303,1,3,"Taylor, Mr. Arthur", male ,12.3,1,0,W./C. 79239,25.24,,Southampton
304,0,3,"Evans, Mrs. Lucía",f,27.3,0,0,W./C. 3027,12.05,, S 
305,0,3,"Walker, Mr. Samuel",M,-3,0,0,STON/O2 56613,16.89,,cherbourg
306,1,3,"López, Miss. Ethel",female,2.4,0,0,STON/O2 29176,29.06,,queenstown
307,0,2,"Taylor, Mr. Thomas",m,48.2,0,1,SOTON 37580,11.89,,Cherbourg
308,1,3,"García, Mr. William", male ,75.5,0,0,STON/O2 40228,4.98,,s
309,0,2,"Hernández, Mr. Luis",male,N/A,0,0,C.A. 81513,10.15,, C 
310,0,3,"Lewis, Mr. Edward",MALE,null,0,0,W./C. 32031,16.50,,southampton
311,0,3,"Walker, Mrs. Alice",FEMALE,44.8,0,0,PC 52912,29.95,,c
312,0,2,"Hall, Mr. Thomas",male,,0,0,STON/O2 50545,18.56,,cherbourg
313,1,3,"Brown, Miss. Alice",f,unknown,0,1,C.A. 15150,7.71,,southampton
314,0,1,"Young, Mr. James",MALE,40.7,0,1,PC 51717,47.37,,queenstown
315,1,1,"Young, Mrs. Ethel",f,26.8,0,0,A/5 50236,51.82,A43,queenstown
316,0,1,"Young, Mr. Alejandro",male,45.6,1,2,PC 4492,78.84,, S 
317,0,3,"Brown, Mr. John",Male,22.8,0,0,STON/O2 24064,11.58,,Southampton
318,0,2,"Thomas, Mrs. Lucía",Female,34.9,0,1,STON/O2 43726,31.73,,
319,0,1,"Lewis, Mrs. Edith", female ,N/A,0,0,W./C. 68547,55.81,,S
320,1,3,"Clark, Mr. Arthur", male ,7.2,0,0,SOTON 22905,8.42,,S
321,1,3,"Hall, Miss. María",Female,3.9,3,0,SOTON 36035,2.65,,southampton
322,0,3,"Martin, Mr. Luis",Male,27.2,2,1,LINE 94080,19.24,,cherbourg
323,0,2,"Young, Mrs. Anna",f,25.7,0,1,SOTON 84716,18.71,,c
324,0,3,"Davies, Miss. Sofía",F,7.0,0,0,C.A. 87729,8.70,, S 
325,0,2,"Davies, Mr. Robert",m,40.9,0,0,STON/O2 4767,17.31,,Southampton
326,0,2,"Smith, Mrs. Lucía",F,45.8,0,2,SOTON 30985,39.31,, S 
327,1,1,"Scott, Mrs. Elena",F,55.5,0,1,STON/O2 33178,124.54,,Queenstown
328,1,3,"Roberts, Mr. Daniel",MALE,20.9,0,0,STON/O2 47384,5.89,,Southampton
329,0,3,"Thomas, Mr. Miguel",M,0.3,0,0,STON/O2 27907,16.69,,s
330,1,2,"Taylor, Miss. Mary",FEMALE,5.6,0,1,C.A. 59792,14.15,,Southampton
331,0,3,"Allen, Mr. Thomas",MALE,null,0,0,A/5 26129,12.95,,Southampton
332,1,1,"Wilson, Mr. Carlos", male ,unknown,0,1,LINE 85215,193.63,,s
333,0,3,"Thomas, Mr. William",male,25.7,0,0,PC 70718,11.13,,Southampton
334,0,1,"Smith, Mr. Henry",male,33.5,0,0,PC 86437,101.11,,Southampton
335,1,3,"Smith, Mrs. Margaret",f,47.6,1,0,W./C. 98814,16.03,,Queenstown
336,0,1,"Thomas, Mr. Luis",male,59.5,0,4,SOTON 7260,73.15,,q
337,0,3,"Evans, Mr. John", male ,29.8,0,1,SOTON 92854,11.42,,Southampton
338,0,3,"Brown, Mrs. Emily",Female,42.1,0,1,C.A. 35284,35.77,,s
339,0,3,"King, Mr. George",MALE,56.8,0,2,W./C. 68722,17.01,E57,Southampton
340,0,2,"Walker, Mr. Thomas",m,,0,0,SOTON 51506,32.69,,S
341,1,1,"Ramírez, Miss. Ethel",Female,16.4,0,0,STON/O2 18985,175.72,,Southampton
342,0,1,"Martínez, Mr. Charles", male ,37.0,0,0,SOTON 69701,236.16,,s
343,1,2,"Green, Miss. Ethel",female,21.2,0,1,W./C. 98901,39.13,,s
344,0,2,"Green, Mrs. Edith",FEMALE,34.2,0,1,LINE 47820,10.06,,S
345,0,3,"Johnson, Miss. Anna",FEMALE,11.9,0,1,STON/O2 53628,5.40,,S
346,1,3,"Martin, Miss. María", female ,22.6,0,3,SOTON 14722,24.32,E26, S 
347,1,1,"Wilson, Mr. Henry",MALE,27.0,0,0,STON/O2 41368,69.48,D51,southampton
348,1,3,"Hernández, Mrs. Elizabeth",Female,29.6,3,2,W./C. 89117,6.48,,Southampton
349,0,3,"Johnson, Mr. Samuel", male ,29.6,1,0,LINE 52856,5.36,, S 
350,1,2,"Brown, Mr. Luis",Male,21.7,0,0,STON/O2 27056,14.81,,cherbourg
351,1,3,"Martin, Mrs. Sofía",f,N/A,4,0,C.A. 47800,25.38,,S
352,0,2,"Scott, Mrs. Lucía",Female,29.9,3,0,W./C. 97893,35.77,,c
353,0,3,"Green, Mr. Daniel",MALE,unknown,1,0,STON/O2 49861,14.80,,s
354,1,3,"Clark, Miss. Camila",Female,0.3,0,0,PC 51720,14.77,,Q
355,0,3,"King, Mr. William",M,43.0,0,1,A/5 11654,20.69,, S 
356,1,2,"Hernández, Mr. Thomas",male,41.1,0,0,STON/O2 3621,33.66,,cherbourg
357,1,3,"Martin, Mr. Miguel", male ,16.2,0,3,A/5 40579,25.68,,Southampton
358,1,3,"Walker, Miss. Helen",female,24.1,0,1,A/5 16330,15.65,,c
359,0,2,"López, Mrs. Edith",f,32.9,0,1,PC 36991,19.68,,cherbourg
360,0,3,"García, Mr. Arthur",M,36.0,2,0,LINE 77757,free,,Southampton
361,1,3,"Martínez, Mr. Luis",Male,4.7,0,0,SOTON 23277,9.42,,Southampton
362,1,3,"Scott, Mr. George",Male,9.8,1,0,C.A. 89476,6.71,,Southampton
363,1,3,"Young, Mr. Miguel",Male,unknown,0,0,SOTON 79296,7.19,G105,s
364,0,3,"Wilson, Mr. Henry",MALE,22.0,0,0,PC 54926,19.65,,southampton
365,1,1,"Hernández, Mrs. Elena",female,40.8,0,0,W./C. 45307,34.54,, S 
366,0,3,"Hall, Mr. Luis",m,unknown,0,0,A/5 72760,9.47,,southampton
367,0,2,"Young, Mr. Samuel",m,32.7,0,0,C.A. 43263,23.34,,southampton
368,0,3,"Evans, Mr. Charles", male ,6.1,3,0,SOTON 88671,6.79,,C
369,0,1,"Roberts, Mr. Miguel",M,52.1,0,2,W./C. 82268,35.18,, C 
370,1,2," Wright, Mr. George ",m,8.2,0,1,SOTON 49266,14.76,,S
371,0,3,"Martínez, Mr. Robert",M,5.5,0,two,STON/O2 97139,11.65,,southampton
372,1,3,"Walker, Miss. Ethel",F,22.2,0,0,A/5 20978,14.38,,southampton
373,0,1,"Young, Mr. Samuel",,37.0,1,0,STON/O2 59008,154.30,,S
374,0,1,"Brown, Mr. Miguel",M,17.9,1,2,PC 49788,46.27,,Southampton
375,1,2,"Allen, Mrs. Elizabeth",f,38.5,0,1,STON/O2 1865,34.20,,Southampton
376,1,2,"Martínez, Mr. Arthur",m,11.2,0,1,C.A. 89914,26.00,,southampton
377,1,2,"Taylor, Mr. Luis",Male,34.2,0,0,W./C. 19741,27.55,,queenstown
378,1,1,"Taylor, Mrs. Isabella",F,41.8,0,0,W./C. 76569,154.73,,s
379,1,1,"Clark, Mr. John",M,25.2,1,3,LINE 82498,177.70,,Southampton
380,1,1,"Allen, Mrs. Helen",F,26.6,2,1,W./C. 26552,190.02,A22,cherbourg
381,0,3,"Young, Mr. William",m,30.4,0,0,W./C. 58902,11.11,,q
382,0,3,"Taylor, Mr. William",Male,42.7,1,1,SOTON 33648,27.03,,Southampton
383,1,3,"Brown, Mr. Thomas",Male,47.4,0,0,SOTON 81054,24.78,,
384,0,2,"Hall, Mr. Edward",m,45.1,0,0,C.A. 68919,33.36,, S 
385,0,3,"Martínez, Mr. Samuel",Male,24.3,,2,STON/O2 1923,11.88,, S 
386,0,3,"Davies, Mr. William",Male,40.8,1,0,SOTON 72068,6.85,,Queenstown
387,1,3,"Ramírez, Miss. Isabella",FEMALE,null,0,3,SOTON 81174,21.46,, C 
388,1,1,"Taylor, Mr. William",male,52.1,2,0,SOTON 11076,53.20,,S
389,0,2,"Walker, Miss. Ethel", female ,,0,0,PC 15271,34.09,D3,queenstown
390,0,3,"Ramírez, Mr. John",Male,39.2,0,0,A/5 82017,12.15,,southampton
391,0,3,"Hall, Mr. Luis",MALE,,2,0,SOTON 36493,26.95,,queenstown
392,1,2,"Thomas, Miss. Alice",FEMALE,20.5,0,0,W./C. 42112,21.50,, Q 
393,1,3,"Martin, Mr. Alejandro",male,,2,0,W./C. 19560,5.02,,S
394,no,1,"Wilson, Mr. Miguel",M,33.7,0,0,LINE 15382,149.43,A56, C 
395,0,3,"López, Mr. Miguel",Male,21.5,0,3,C.A. 38400,19.78,,southampton
396,1,1,"Allen, Mr. Robert", male ,130,0,0,PC 66594,71.96,,S
397,0,2,"Taylor, Mr. John", male ,0.3,1,0,SOTON 73752,78.72,F2,southampton
398,1,2,"Martin, Mr. William", male ,47.4,1,0,SOTON 45553,13.74,E19,Cherbourg
399,1,3,"Lewis, Mr. Henry", male ,41.0,0,0,SOTON 66204,20.75,,C
400,0,3,"Roberts, Mr. Miguel",M,28.2,0,0,A/5 63722,17.40,,southampton
401,1,3,"Scott, Mrs. Margaret",FEMALE,34.9,0,0,A/5 17530,11.27,, S 
402,0,1,"Johnson, Mr. John", male ,N/A,0,1,LINE 12573,169.61,,q
403,1,3,"López, Miss. Margaret", female ,,0,0,STON/O2 96365,11.56,,Southampton
404,0,3,"Clark, Mr. Daniel",m,48.2,1,0,C.A. 96505,26.96,,c
405,0,1,"López, Mr. John",M,38.3,0,0,A/5 79134,140.78,,southampton
406,1,2,"Martin, Mrs. María",f,999,0,2,W./C. 39957,23.26,D117,s
407,0,3,"Martin, Mr. John",MALE,61.1,1,0,LINE 38295,14.86,, S 
408,1,1,"López, Mrs. Anna",female,27.7,5,0,STON/O2 67127,74.93,E142,southampton
409,1,3,"Lewis, Mrs. Anna",Female,N/A,0,0,LINE 49403,7.26,,southampton
410,0,3,"Lewis, Mr. Luis",m,16.1,0,1,W./C. 76150,38.32,,q
411,1,3,"King, Mrs. Elena",FEMALE,null,0,0,STON/O2 93237,12.21,, S 
412,0,3,"Lewis, Miss. Lucía",f,24.6,1,0,STON/O2 33586,18.26,,S
413,0,3,"Martin, Mr. Charles",male,50.6,0,1,W./C. 96836,17.40,,S
414,1,3,"Martínez, Mr. Arthur",M,0.3,1,0,SOTON 29548,25.78,, S 
415,0,3,"Walker, Mr. James",Male,unknown,0,0,STON/O2 63003,34.50,,southampton
416,1,2,"Ramírez, Mr. Charles", male ,unknown,0,0,STON/O2 49920,17.13,,S
417,0,3,"Green, Mr. Daniel",M,unknown,1,0,STON/O2 59007,16.97,,s
418,1,3,"Martínez, Mrs. Isabella",female,,0,0,PC 85714,9.71,, S 
419,0,3,"Scott, Mr. Luis",Male,56.6,0,0,SOTON 2119,5.92,,Southampton
420,0,3,"Green, Mr. John", male ,18.6,0,0,A/5 83413,8.72,E137, S 
421,0,3,"Davies, Mr. Samuel",m,11.9,0,0,STON/O2 63198,32.96,,C
422,0,1,"Martin, Mr. Henry",M,26.5,1,0,C.A. 85192,151.20,,Southampton
423,0,3,"Smith, Mr. Miguel",m,32.0,5,2,LINE 32803,8.03,,S
424,1,3,"Wright, Miss. Sofía",female,19.9,0,2,STON/O2 27097,14.91,, S 
425,0,3,"Thomas, Miss. Elizabeth",f,22.8,0,-1,PC 77808,8.18,, S 
426,1,1,"Brown, Mrs. Edith", female ,49.2,1,2,A/5 48608,94.06,,s
427,1,3,"Brown, Mrs. Sofía", female ,39.6,0,0,LINE 4758,12.63,,C
428,1,1,"Scott, Mrs. Emily", female ,29.1,0,3,C.A. 16813,252.11,,Southampton
429,1,3,"López, Mr. Alejandro",male,9.8,1,0,C.A. 36332,5.32,,southampton
430,0,3,"King, Miss. Elena", female ,unknown,0,0,LINE 35881,7.11,,c
431,1,3,"Martínez, Miss. Emily",FEMALE,N/A,1,0,STON/O2 8992,11.77,,southampton
432,0,3,"Evans, Mr. Charles",Male,19.2,0,0,W./C. 5288,29.90,, S 
433,1,3,"Evans, Mrs. Ethel", female ,26.4,0,0,C.A. 9358,14.61,,s
434,1,2,"Lewis, Mr. Alejandro",M,54.9,0,0,LINE 25902,4.06,,Southampton
435,1,1,"Thomas, Mr. Charles",m,20.0,1,0,LINE 19925,192.34,C37, S 
436,1,2,"Martin, Mr. Henry",m,37.2,1,0,C.A. 98843,12.66,,cherbourg
437,0,3,"Hernández, Mrs. Elizabeth",female,30.8,0,0,LINE 6858,2.51,,Southampton
438,1,3,"Davies, Mr. Samuel",Male,42.1,0,0,SOTON 33169,5.40,, C 
439,0,3,"Thomas, Mr. Samuel",male,24.3,2,1,SOTON 50564,12.88,,C
440,1,2,"Clark, Miss. Ethel",f,3.6,0,0,C.A. 65402,22.52,,southampton
441,1,3,"Ramírez, Mr. Edward",male,13.6,0,0,W./C. 45996,17.59,, S 
442,0,1,"Hernández, Mr. Carlos", male ,48.6,0,0,W./C. 83103,83.30,, S 
443,0,2,"Wilson, Mrs. Anna",f,,0,0,C.A. 68282,59.46,, S 
444,0,3,"Smith, Mr. Edward",Male,42.5,0,1,SOTON 17480,19.56,,Cherbourg
445,0,3,"Smith, Mr. Henry", male ,54.9,0,0,STON/O2 91694,16.26,,Cherbourg
446,0,2,"Johnson, Mr. Alejandro",male,null,0,0,STON/O2 89656,33.52,,Southampton
447,0,3,"Martin, Mrs. Mary",Female,44.7,0,0,SOTON 95871,6.99,,southampton
448,1,3,"García, Mrs. Edith",female,42.4,1,0,PC 91705,34.44,, S 
449,1,2,"Scott, Mrs. Elena", female ,44.0,0,2,PC 81239,22.31,,Southampton
450,0,1,"Green, Mr. Carlos",MALE,unknown,1,3,W./C. 15570,35.39,,s
451,1,1,"King, Mr. Charles",male,null,2,0,SOTON 3300,126.30,,cherbourg
452,0,1,"García, Mr. Henry",M,24.5,1,0,W./C. 90003,30.01,,southampton
453,0,2,"Lewis, Mr. Robert",m,25.6,0,1,STON/O2 81080,25.07,,s
454,0,3,"King, Mr. James",Male,28.4,0,0,LINE 25428,16.70,,Southampton
455,0,3,"Thomas, Mr. Alejandro",male,43.7,0,0,PC 10664,9.37,,Southampton
456,0,3,"Johnson, Mr. Daniel",male,32.5,0,0,PC 93741,5.91,,queenstown
457,1,1,"Smith, Mrs. Lucía", female ,46.1,1,0,W./C. 98233,73.43,,Cherbourg
458,0,1,"Clark, Mr. Daniel",M,34.1,1,1,LINE 83947,58.94,,southampton
459,0,2,"King, Mr. George",Male,25.4,1,3,W./C. 57685,25.78,, S 
460,0,3,"Taylor, Mr. Daniel",male,21.8,0,1,A/5 68404,18.51,, S 
461,0,3,"Allen, Mr. John",male,53.3,0,0,LINE 54548,16.15,,q
462,1,2,"Roberts, Miss. María",F,7.9,0,0,SOTON 56417,17.76,,southampton
463,0,3,"Wilson, Mr. Edward",Male,59.5,0,1,PC 56485,19.75,,Southampton
464,0,1,"Lewis, Mr. George",Male,null,1,0,LINE 86193,216.38,,southampton
465,0,1,"Evans, Mr. Luis",m,35.2,0,0,W./C. 7803,248.55,,southampton
466,1,2,"Wilson, Mrs. Elizabeth", female ,26.2,1,1,C.A. 96450,14.07,,c
467,1,2,"Wright, Mr. Charles", male ,10.7,-1,2,W./C. 47317,18.49,,q
468,0,1,"Davies, Mr. Carlos",m,N/A,1,0,C.A. 58086,160.21,,Southampton
469,1,2,"Hernández, Mr. Charles",male,36.1,1,0,PC 31669,23.22,, C 
470,0,3,"Scott, Mrs. Margaret",f,36.0,1,0,SOTON 90882,10.97,,southampton
471,1,1,"Scott, Mr. Thomas",M,51.8,0,0,LINE 63691,40.81,,southampton
472,1,3,"Scott, Miss. Margaret",FEMALE,2.8,2,0,SOTON 65758,8.96,,Cherbourg
473,0,3,"Clark, Mr. Luis", male ,,3,0,STON/O2 46631,12.06,,Cherbourg
474,0,2,"Davies, Mr. Charles", male ,13.6,0,0,STON/O2 64151,22.32,,s
475,0,3,"King, Miss. Mary",female,23.9,0,2,LINE 80168,21.35,,s
476,0,1,"López, Mr. John", male ,unknown,0,0,STON/O2 36093,79.35,D123,S
477,0,2,"Wilson, Mr. Samuel",m,N/A,1,0,W./C. 44930,10.14,,S
478,1,1,"Allen, Mrs. Camila",Female,30.0,0,0,W./C. 12835,159.74,, S 
479,1,3,"Brown, Miss. Edith",F,23.1,0,0,LINE 95247,32.59,, S 
480,1,3,"García, Mr. Luis",Male,7.2,0,3,C.A. 23409,8.04,,c
481,0,3,"Wright, Miss. Anna",Female,,0,1,SOTON 47115,8.65,,S
482,0,1,"Smith, Mr. John", male ,41.0,1,0,A/5 69445,67.70,, C 
483,0,3,"Roberts, Mr. John",M,,0,1,STON/O2 87226,11.56,,s
484,1,1,"Lewis, Miss. Sofía",F,,0,1,SOTON 59204,70.68,, S 
485,0,2,"Thomas, Mr. Daniel", male ,45.2,0,0,STON/O2 20834,34.96,, S 
486,0,3,"Thomas, Mr. James",MALE,,0,0,W./C. 91732,17.44,,s
487,0,3,"López, Mr. Carlos",MALE,27.2,1,0,SOTON 94179,16.73,, S 
488,0,3,"Young, Mr. Luis",M,39.6,0,0,C.A. 23701,7.99,,southampton
489,1,3,"Evans, Mrs. Sofía",FEMALE,unknown,4,1,PC 83202,4.99,, S 
490,1,3,"Scott, Miss. Lucía",f,14.3,0,0,A/5 57746,30.44,,southampton
491,0,1,"Martin, Mr. George",M,32.5,0,1,W./C. 23510,87.38,,s
492,1,3,"Green, Mr. George",Male,12.6,0,3,A/5 59963,5.26,,S
493,1,3,"Lewis, Mrs. Helen",female,36.5,0,0,A/5 84778,5.42,, C 
494,0,3,"Scott, Mrs. Margaret",f,unknown,1,0,STON/O2 61583,32.31,,c
495,1,1,"Ramírez, Mr. John",MALE,41.8,1,0,C.A. 29922,105.89,,S
496,1,1,"Wright, Mrs. Camila",Female,30.0,0,0,C.A. 17628,27.81,B110,Southampton
497,1,2,"Wilson, Mr. Daniel",M,53.5,0,0,STON/O2 55116,28.50,,S
498,1,3,"Roberts, Miss. Elena",female,21.3,0,0,PC 52803,6.88,,s
499,0,3,"Roberts, Mrs. Mary",f,46.3,0,0,W./C. 23939,6.90,, S 
500,1,2,"Clark, Mrs. Elizabeth",FEMALE,40.8,0,1,PC 12555,38.63,,C
501,0,3,"Ramírez, Mrs. Lucía",FEMALE,36.0,1,0,A/5 46683,10.61,, S 
502,0,2,"López, Mr. Arthur", male ,21.2,0,0,C.A. 7366,35.88,E119,southampton
503,0,3,"Scott, Mr. William",MALE,11.2,0,0,PC 41710,4.78,,S
504,1,3,"Wright, Mr. Thomas",m,31.6,0,0,SOTON 46622,31.61,,s
505,0,3,"Thomas, Mr. Charles", male ,45.7,0,0,STON/O2 21124,5.45,,
506,1,1,"Clark, Mrs. Alice",F,27.8,0,0,LINE 15460,92.14,, S 
507,1,1,"Clark, Mrs. Helen",female,26.1,0,0,SOTON 76121,35.04,,S
508,1,3,"Young, Mr. Miguel",M,9.4,0,0,LINE 10122,9.13,,S
509,0,1,"Taylor, Mr. William",Male,39.3,2,2,C.A. 66794,89.51,,s
510,0,1,"Young, Mr. William",m,30.4,0,0,STON/O2 48150,44.15,,southampton
511,0,3,"Young, Mr. Carlos",MALE,15.6,1,0,W./C. 35417,12.97,,s
512,1,3,"Martin, Mr. Miguel", male ,48.9,0,0,W./C. 23071,18.62,,S
513,0,3,"Brown, Mr. Thomas",Male,73.0,1,2,LINE 41262,37.18,,S
514,0,2,"Young, Mr. Alejandro",M,25.6,0,0,SOTON 30057,18.01,,S
515,1,2,"Smith, Miss. Sofía",f,0.3,1,0,C.A. 90177,16.90,,S
516,0,3,"Evans, Mr. John",Male,29.0,0,0,PC 20791,4.92,,Southampton
517,1,2,"Martínez, Mrs. Helen",F,44.6,2,0,LINE 88959,15.20,,Southampton
518,0,3,"Martin, Mr. James", male ,43.6,0,1,C.A. 62447,8.91,,southampton
519,0,3,"López, Mr. Alejandro",m,20.0,0,2,PC 79773,17.25,,S
520,1,2,"López, Mrs. Sofía",F,27.2,0,0,W./C. 24684,40.00,,S
521,0,3,"López, Mr. Thomas", male ,36.6,2,0,A/5 63574,14.47,,Q
522,0,2,"López, Mr. Miguel",male,29.5,4,0,STON/O2 34730,15.93,,s
523,1,3,"Martínez, Mr. Charles",M,34.9,1,2,C.A. 24107,4.21,, C 
524,0,3,"Thomas, Mrs. Margaret",female,38.8,0,0,W./C. 28365,7.16,,
525,0,3,"Allen, Mr. Thomas",Male,18.5,0,0,PC 77623,20.48,, S 
526,0,3,"King, Mr. Daniel",m,12.6,0,3,W./C. 15447,18.31,,c
527,0,3," Thomas, Mr. Charles ",M,,0,0,SOTON 82039,10.56,,Cherbourg
528,0,3,"Walker, Mr. Daniel",Male,37.7,0,2,LINE 52449,17.49,,s
529,1,2,"Johnson, Miss. Helen",FEMALE,20.0,0,0,LINE 86695,31.53,,
530,0,3,"Wilson, Mr. Alejandro", male ,19.1,2,0,SOTON 64414,23.44,, S 
531,1,3,"Green, Miss. Camila",FEMALE,20.9,0,0,SOTON 94186,20.45,, S 
532,1,1,"Thomas, Mr. Robert",M,7.8,0,0,SOTON 90030,174.02,,Southampton
533,1,2,"Wright, Mrs. Lucía", female ,36.5,1,0,STON/O2 93513,25.95,,c
534,1,3,"Thomas, Miss. Ethel",FEMALE,20.8,0,0,A/5 69046,19.74,,
535,0,3,"Martínez, Mr. George",Male,45.8,3,0,PC 54392,19.32,,southampton
536,0,3,"Ramírez, Mr. Thomas",Male,66.5,0,0,C.A. 57479,14.57,,s
537,1,2," King, Miss. Mary ",Female,8.7,1,0,STON/O2 26133,20.33,, S 
538,0,2nd,"Johnson, Mr. Daniel",MALE,46.9,0,0,PC 26381,65.66,,queenstown
539,1,2,"Martínez, Mrs. María",f,29.0,1,0,A/5 52865,18.56,,cherbourg
540,1,1,"Ramírez, Mr. Robert",male,27.3,0,0,PC 48273,149.34,, S 
541,1,1,"Allen, Mrs. Ethel", female ,41.5,0,0,C.A. 5829,59.64,,s
542,1,3,"Brown, Mrs. Alice",female,47.9,0,0,A/5 50536,9.36,,S
543,1,1,"Ramírez, Mr. Arthur",Male,N/A,2,0,C.A. 62444,39.85,,S
544,0,3,"Hernández, Mr. George", male ,null,0,1,W./C. 40167,8.77,,southampton
545,1,3,"Roberts, Miss. Elena", female ,20.6,4,0,W./C. 60030,17.85,, S 
546,1,3,"Wilson, Mr. John",m,34.2,0,2,LINE 22360,22.27,G179,c
547,1,3,"Ramírez, Mrs. Helen",female,34.3,0,4,SOTON 12984,8.51,,s
548,0,2,"Allen, Mr. Samuel",M,6.7,0,0,STON/O2 13934,37.93,,s
549,1,1,"Clark, Mrs. Isabella",female,46.4,0,2,C.A. 53585,76.63,,southampton
550,1,3,"Thomas, Miss. Florence",FEMALE,20.4,1,0,LINE 13209,17.96,,s
551,1,1,"King, Mrs. María",FEMALE,27.5,0,0,C.A. 72003,169.86,,southampton
552,0,3,"Hernández, Mr. Samuel",MALE,21.1,1,0,SOTON 98085,12.68,,S
553,1,1,"Green, Mrs. Elizabeth",,43.2,0,0,PC 36753,81.45,E125,Southampton
554,1,3,"Johnson, Mr. George",MALE,19.2,0,0,PC 92760,5.59,,S
555,0,3,"Walker, Mr. Carlos", male ,1.7,0,0,A/5 16482,12.30,,
556,No,3,"Wilson, Mr. Carlos", male ,17.9,0,0,LINE 64751,23.07,,southampton
557,0,3,"Evans, Mr. Robert",M,66.0,1,0,SOTON 29937,4.88,,Southampton
558,0,3,"Clark, Miss. Elena", female ,null,0,1,LINE 74782,5.58,,s
559,0,3,"Scott, Mrs. Margaret",F,34.7,1,0,PC 78191,21.12,,s
560,0,3,"Walker, Mr. Daniel",M,19.4,0,0,LINE 61587,9.28,,S
561,1,3,"Ramírez, Mrs. Elizabeth",female,34.5,2,0,A/5 91407,4.14,,s
562,0,3,"King, Mr. Luis",male,31.9,5,0,PC 83341,7.72,,southampton
563,1,3,"Martin, Miss. Sofía",female,1.8,2,2,PC 93598,6.33,,Southampton
564,0,3,"Johnson, Mr. Thomas",M,30.0,0,0,A/5 79226,6.86,,cherbourg
565,0,3,"Johnson, Mr. James",MALE,9.7,0,0,PC 58239,8.10,,Q
566,0,2,"Allen, Mr. Carlos",M,72.6,0,2,C.A. 41242,46.79,F7,southampton
567,1,3,"Evans, Miss. Margaret",female,1.6,0,two,SOTON 5127,6.15,,S
568,1,3,"Clark, Mr. Luis",MALE,35.5,0,0,W./C. 13811,14.31,,Cherbourg
569,1,1,"Thomas, Miss. Isabella", female ,2.2,0,0,STON/O2 30195,131.10,C79,S
570,0,3,"Johnson, Mr. Alejandro",m,29.6,0,1,STON/O2 43732,6.67,,s
571,0,3,"Hall, Mr. Thomas", male ,N/A,2,0,PC 44390,37.40,,s
572,0,3,"Roberts, Mr. Charles", male ,-3,1,2,SOTON 81004,4.76,,Southampton
573,1,3,"Scott, Mr. George",m,unknown,0,0,A/5 84158,26.72,,S
574,1,3,"Ramírez, Mr. Samuel",M,15.6,0,0,SOTON 92725,13.07,E26,southampton
575,1,2,"Young, Miss. Anna",FEMALE,8.1,2,0,W./C. 38646,10.70,,southampton
576,1,1,"Taylor, Miss. Mary",F,null,0,0,STON/O2 73692,50.47,, S 
577,1,3,"Johnson, Mr. William",m,30.9,1,0,SOTON 86230,7.20,,S
578,1,1,"García, Mr. George",m,null,0,2,PC 84854,91.84,,cherbourg
579,0,2,"Green, Mr. Arthur",Male,40.8,1,0,SOTON 95304,45.36,,Cherbourg
580,1,3,"Wilson, Miss. Isabella",f,23.1,1,0,W./C. 50742,16.56,,s
581,0,2,"Wright, Mr. Arthur", male ,22.2,0,2,STON/O2 51711,14.98,,Queenstown
582,1,2,"García, Mr. Henry", male ,unknown,0,2,LINE 26137,25.19,, S 
583,0,1,"Scott, Mrs. Margaret",F,31.9,1,0,SOTON 3471,155.58,, S 
584,0,1,"Green, Mr. Alejandro",male,21.4,0,1,LINE 51944,43.30,,Southampton
585,0,2,"Hall, Mr. Charles", male ,71.4,0,0,STON/O2 87807,14.80,,S
586,1,3,"Lewis, Mr. Arthur",M,unknown,1,0,A/5 84737,6.16,,Southampton
587,0,1,"Davies, Mr. John",m,41.0,0,0,A/5 68835,109.49,,southampton
588,0,3,"García, Mrs. Emily",Female,42.1,0,0,LINE 67625,19.19,,s
589,0,2,"Ramírez, Mr. Thomas",male,20.0,1,0,SOTON 31954,13.04,,southampton
590,1,3,"Martínez, Mr. Robert",male,36.7,1,-1,PC 16425,8.47,, S 
591,0,1,"Allen, Mr. Arthur",M,35.3,2,0,C.A. 42917,45.33,, S 
592,0,3,"Hall, Mr. Edward",M,44.5,0,0,SOTON 78164,9.81,,Southampton
593,0,3,"Scott, Mrs. Edith", female ,48.7,0,2,C.A. 11874,13.99,,S
594,1,3,"Walker, Mrs. Camila",f,42.5,2,0,C.A. 56794,8.82,,s
595,1,3,"López, Mr. William",MALE,24.7,0,0,STON/O2 5729,7.95,, S 
596,1,3,"King, Mrs. Helen",FEMALE,45.8,0,0,C.A. 6479,17.11,,q
597,1,2,"García, Miss. Margaret",Female,null,0,0,W./C. 85214,39.54,,S
598,0,3,"Wilson, Mr. Carlos",MALE,null,1,0,C.A. 75686,5.80,,S
599,0,3,"Evans, Mr. Carlos",M,15.9,0,0,STON/O2 94258,12.19,, C 
600,0,3,"Martínez, Mr. Samuel",male,null,5,0,A/5 35945,11.80,,southampton
601,0,1,"Hernández, Mr. Daniel",M,42.0,1,2,A/5 36617,113.52,, S 
602,0,3,"Roberts, Mr. Daniel", male ,48.3,1,0,W./C. 6009,25.93,,Southampton
